P,B,B,B,B,R,R,R,R,R,B,B,T,B,B,B,B,B,B,B
B,B,B,B,B,R,B,B,R,R,T,B,B,B,B,B,B,B,B,B
B,B,B,B,T,B,B,B,B,B,B,B,B,B,T,B,R,R,R,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,R,R,R,B
R,R,B,B,B,B,B,B,B,B,B,B,B,B,B,B,R,R,B,B
R,R,B,B,T,B,B,B,T,R,R,B,B,B,B,B,B,B,B,B
R,B,B,B,B,B,B,B,B,K,R,T,B,B,B,B,B,B,B,B
B,T,B,B,T,B,B,B,B,B,R,B,B,B,T,B,B,T,B,B
B,B,B,R,R,B,B,B,B,B,B,B,B,B,B,B,R,B,B,B
T,B,B,R,R,B,T,B,B,B,B,B,B,B,B,R,R,B,B,B
B,B,B,B,B,B,B,B,B,B,T,B,B,B,B,R,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,T,R,B,B,R,B,B,B,B,B,B,B,B,B,T,B,B,B
B,B,B,B,B,T,R,B,B,T,B,R,R,B,B,T,B,B,B,B
B,B,B,B,B,B,B,B,B,B,R,R,R,R,B,B,B,B,B,T
T,B,B,B,B,B,T,B,B,B,R,R,R,R,B,B,B,B,B,T
B,B,B,T,B,R,R,R,B,B,B,R,B,B,B,B,B,B,B,B
B,T,B,B,R,R,R,R,R,B,B,B,B,B,B,B,T,B,B,B
B,B,B,B,R,R,R,R,B,B,B,B,B,B,B,B,B,B,B,D
B,B,B,T,B,R,R,T,B,B,B,B,B,B,R,B,T,B,B,B

